no,item,attempts
1191,apple,9
1192,apple,12
1193,apple,8
1194,apple,7
1195,apple,8
1196,apple,7
1197,apple,9
1198,apple,12
1199,apple,9
1200,apple,10
1201,apple,9
1202,apple,11
1203,apple,9
1204,apple,12
1205,apple,20
1206,apple,9
1207,apple,9
1208,apple,7
1209,apple,10
1210,apple,13
1211,apple,11
1212,apple,10
1213,apple,10
1214,apple,10
1215,apple,9
1216,apple,12
1217,apple,14
1218,apple,11
1219,apple,11
1220,apple,9
1221,apple,8
1222,apple,11
1223,apple,10
1224,apple,11
1225,apple,8
1226,apple,8
1227,apple,10
1228,apple,8
1229,apple,12
1230,apple,8
1231,apple,9
1232,apple,11
1233,apple,9
1234,apple,10
1235,apple,8
1236,apple,8
1237,apple,10
1238,apple,7
1239,apple,15
1240,apple,14
1241,apple,9
1242,apple,9
1243,apple,12
1244,apple,11
1245,apple,9
1246,apple,15
1247,apple,10
1248,apple,8
1249,apple,11
1250,apple,8
1251,apple,8
1252,apple,10
1253,apple,14
1254,apple,12
1255,apple,9
1256,apple,9
1257,apple,11
1258,apple,14
1259,apple,13
1260,apple,11
1261,apple,8
1262,apple,9
1263,apple,11
1264,apple,11
1265,apple,9
1266,apple,8
1267,apple,8
1268,apple,8
1269,apple,8
1270,apple,8
1271,apple,9
1272,apple,15
1273,apple,9
1274,apple,8
1275,apple,8
1276,apple,9
1277,apple,11
1278,apple,11
1279,apple,8
1280,apple,7
1281,apple,7
1282,apple,8
1283,apple,12
1284,apple,10
1285,apple,8
1286,apple,9
1287,apple,10
1288,apple,11
1289,apple,8
1290,apple,11
1291,apple,8
1292,apple,8
1293,apple,14
1294,apple,9
1295,apple,7
1296,apple,10
1297,apple,10
1298,apple,9
1299,apple,17
1300,apple,13
1301,apple,15
1302,apple,9
1303,apple,9
1304,apple,13
1305,apple,12
1306,apple,14
1307,apple,12
1308,apple,14
1309,apple,13
1310,apple,13
1311,apple,9
1312,apple,11
1313,apple,12
1314,apple,8
1315,apple,8
1316,apple,10
1317,apple,16
1318,apple,12
1319,apple,11
1320,apple,8
1321,apple,10
1322,apple,8
1323,apple,7
1324,apple,7
1325,apple,8
1326,apple,11
1327,apple,10
1328,apple,10
1329,apple,12
1330,apple,10
1331,apple,7
1332,apple,14
1333,apple,7
1334,apple,9
1335,apple,11
1336,apple,7
1337,apple,12
1338,apple,14
1339,apple,10
1340,apple,10
1341,apple,9
1342,apple,8
1343,apple,9
1344,apple,10
1345,apple,14
1346,apple,8
1347,apple,10
1348,apple,10
1349,apple,8
1350,apple,10
1351,apple,11
1352,apple,10
1353,apple,10
1354,apple,18
1355,apple,10
1356,apple,12
1357,apple,12
1358,apple,14
1359,apple,9
1360,apple,12
1361,apple,9
1362,apple,9
1363,apple,11
1364,apple,8
1365,apple,12
1366,apple,10
1367,apple,12
1368,apple,15
1369,apple,11
1370,apple,10
1371,apple,13
1372,apple,12
1373,apple,9
1374,apple,7
1375,apple,11
1376,apple,7
1377,apple,9
1378,apple,8
1379,apple,11
1380,apple,11
1381,apple,8
1382,apple,9
1383,apple,10
1384,apple,17
1385,apple,7
1386,apple,11
1387,apple,9
1388,apple,9
1389,apple,8
1390,apple,8
1391,apple,10
1392,apple,10
1393,apple,13
1394,apple,13
1395,apple,12
1396,apple,8
1397,apple,13
1398,apple,9
1399,apple,7
1400,apple,11
1401,apple,11
1402,apple,10
1403,apple,11
1404,apple,9
1405,apple,10
1406,apple,10
1407,apple,9
1408,apple,12
1409,apple,10
1410,apple,12
1411,apple,11
1412,apple,13
1413,apple,7
1414,apple,10
1415,apple,19
1416,apple,12
1417,apple,14
1418,apple,9
1419,apple,7
1420,apple,12
1421,apple,12
1422,apple,13
1423,apple,7
1424,apple,10
1425,apple,9
1426,apple,8
1427,apple,12
1428,apple,11
1429,apple,12
1430,apple,8
1431,apple,13
1432,apple,9
1433,apple,11
1434,apple,10
1435,apple,10
1436,apple,8
1437,apple,8
1438,apple,8
1439,apple,14
1440,apple,11
1441,apple,8
1442,apple,10
1443,apple,10
1444,apple,9
1445,apple,9
1446,apple,8
1447,apple,12
1448,apple,14
1449,apple,8
1450,apple,8
1451,apple,13
1452,apple,9
1453,apple,10
1454,apple,10
1455,apple,14
1456,apple,9
1457,apple,9
1458,apple,9
1459,apple,7
1460,apple,14
1461,apple,10
1462,apple,9
1463,apple,7
1464,apple,8
1465,apple,11
1466,apple,10
1467,apple,10
1468,apple,8
1469,apple,7
1470,apple,11
1471,apple,10
1472,apple,14
1473,apple,11
1474,apple,12
1475,apple,11
1476,apple,8
1477,apple,13
1478,apple,10
1479,apple,7
1480,apple,12
1481,apple,15
1482,apple,9
1483,apple,10
1484,apple,7
1485,apple,8
1486,apple,9
1487,apple,9
1488,apple,12
1489,apple,12
1490,apple,12
1491,apple,8
1492,apple,10
1493,apple,11
1494,apple,8
1495,apple,10
1496,apple,11
1497,apple,13
1498,apple,9
1499,apple,12
1500,apple,14
1501,apple,8
1502,apple,11
1503,apple,10
1504,apple,10
1505,apple,10
1506,apple,10
1507,apple,9
1508,apple,8
1509,apple,10
1510,apple,8
1511,apple,11
1512,apple,9
1513,apple,8
1514,apple,7
1515,apple,8
1516,apple,15
1517,apple,10
1518,apple,11
1519,apple,10
1520,apple,9
1521,apple,13
1522,apple,11
1523,apple,9
1524,apple,11
1525,apple,7
1526,apple,10
1527,apple,9
1528,apple,15
1529,apple,10
1530,apple,10
1531,apple,9
1532,apple,14
1533,apple,12
1534,apple,15
1535,apple,14
1536,apple,11
1537,apple,13
1538,apple,8
1539,apple,15
1540,apple,12
1541,apple,9
1542,apple,10
1543,apple,9
1544,apple,12
1545,apple,11
1546,apple,12
1547,apple,8
1548,apple,10
1549,apple,7
1550,apple,11
1551,apple,11
1552,apple,8
1553,apple,8
1554,apple,12
1555,apple,8
1556,apple,10
1557,apple,14
1558,apple,9
1559,apple,7
1560,apple,9
1561,apple,9
1562,apple,11
1563,apple,10
1564,apple,9
1565,apple,11
1566,apple,8
1567,apple,9
1568,apple,10
1569,apple,8
1570,apple,10
1571,apple,12
1572,apple,13
1573,apple,9
1574,apple,10
1575,apple,9
1576,apple,14
1577,apple,12
1578,apple,10
1579,apple,10
1580,apple,11
1581,apple,12
1582,apple,8
1583,apple,9
1584,apple,9
1585,apple,9
1586,apple,10
1587,apple,10
1588,apple,16
1589,apple,9
1590,apple,7
1591,apple,8
1592,apple,8
1593,apple,10
1594,apple,9
1595,apple,13
1596,apple,8
1597,apple,8
1598,apple,10
1599,apple,9
1600,apple,10
1601,apple,10
1602,apple,10
1603,apple,9
1604,apple,9
1605,apple,8
1606,apple,12
1607,apple,11
1608,apple,12
1609,apple,10
1610,apple,9
1611,apple,8
1612,apple,7
1613,apple,15
1614,apple,10
1615,apple,9
1616,apple,8
1617,apple,16
1618,apple,13
1619,apple,12
1620,apple,13
1621,apple,9
1622,apple,10
1623,apple,9
1624,apple,13
1625,apple,13
1626,apple,8
1627,apple,12
1628,apple,15
1629,apple,9
1630,apple,12
1631,apple,9
1632,apple,14
1633,apple,13
1634,apple,7
1635,apple,10
1636,apple,8
1637,apple,13
1638,apple,9
1639,apple,12
1640,apple,11
1641,apple,10
1642,apple,11
1643,apple,8
1644,apple,12
1645,apple,10
1646,apple,10
1647,apple,10
1648,apple,7
1649,apple,12
1650,apple,11
1651,apple,8
1652,apple,10
1653,apple,12
1654,apple,11
1655,apple,8
1656,apple,8
1657,apple,9
1658,apple,10
1659,apple,7
1660,apple,11
1661,apple,7
1662,apple,11
1663,apple,9
1664,apple,13
1665,apple,19
1666,apple,8
1667,apple,9
1668,apple,12
1669,apple,9
1670,apple,9
1671,apple,14
1672,apple,9
1673,apple,11
1674,apple,9
1675,apple,7
1676,apple,12
1677,apple,8
1678,apple,9
1679,apple,11
1680,apple,10
1681,apple,10
1682,apple,13
1683,apple,15
1684,apple,8
1685,apple,8
1686,apple,12
1687,apple,14
1688,apple,12
1689,apple,8
1690,apple,9
1691,apple,12
1692,apple,14
1693,apple,10
1694,apple,8
1695,apple,9
1696,apple,11
1697,apple,9
1698,apple,8
1699,apple,8
1700,apple,8
1701,apple,12
1702,apple,11
1703,apple,8
1704,apple,8
1705,apple,8
1706,apple,13
1707,apple,16
1708,apple,8
1709,apple,8
1710,apple,13
1711,apple,9
1712,apple,12
1713,apple,8
1714,apple,8
1715,apple,12
1716,apple,8
1717,apple,11
1718,apple,12
1719,apple,8
1720,apple,10
1721,apple,12
1722,apple,9
1723,apple,15
1724,apple,11
1725,apple,14
1726,apple,7
1727,apple,7
1728,apple,10
1729,apple,12
1730,apple,7
1731,apple,8
1732,apple,9
1733,apple,8
1734,apple,14
1735,apple,9
1736,apple,7
1737,apple,9
1738,apple,10
1739,apple,9
1740,apple,9
1741,apple,8
1742,apple,9
1743,apple,10
1744,apple,8
1745,apple,10
1746,apple,10
1747,apple,9
1748,apple,11
1749,apple,10
1750,apple,9
1751,apple,7
1752,apple,8
1753,apple,14
1754,apple,14
1755,apple,10
1756,apple,11
1757,apple,10
1758,apple,7
1759,apple,10
1760,apple,8
1761,apple,11
1762,apple,11
1763,apple,7
1764,apple,9
1765,apple,13
1766,apple,11
1767,apple,12
1768,apple,15
1769,apple,10
1770,apple,9
1771,apple,9
1772,apple,12
1773,apple,12
1774,apple,7
1775,apple,15
1776,apple,11
1777,apple,9
1778,apple,8
1779,apple,12
1780,apple,8
1781,apple,7
1782,apple,11
1783,apple,14
1784,apple,13
1785,apple,10
1786,apple,7
1787,apple,19
1788,apple,10
1789,apple,12
1790,apple,10
1791,apple,8
1792,apple,12
1793,apple,9
1794,apple,9
1795,apple,15
1796,apple,9
1797,apple,10
1798,apple,11
1799,apple,11
1800,apple,10
1801,apple,11
1802,apple,10
1803,apple,9
1804,apple,11
1805,apple,9
1806,apple,9
1807,apple,8
1808,apple,10
1809,apple,10
1810,apple,8
1811,apple,10
1812,apple,13
1813,apple,8
1814,apple,11
1815,apple,12
1816,apple,8
1817,apple,13
1818,apple,13
1819,apple,14
1820,apple,7
1821,apple,14
1822,apple,11
1823,apple,10
1824,apple,9
1825,apple,12
1826,apple,9
1827,apple,13
1828,apple,11
1829,apple,9
1830,apple,11
1831,apple,11
1832,apple,13
1833,apple,14
1834,apple,9
1835,apple,12
1836,apple,8
1837,apple,12
1838,apple,8
1839,apple,7
1840,apple,10
1841,apple,13
1842,apple,12
1843,apple,13
1844,apple,11
1845,apple,8
1846,apple,11
1847,apple,12
1848,apple,7
1849,apple,9
1850,apple,8
1851,apple,11
1852,apple,8
1853,apple,9
1854,apple,13
1855,apple,8
1856,apple,11
1857,apple,8
1858,apple,9
1859,apple,10
1860,apple,10
1861,apple,10
1862,apple,8
1863,apple,11
1864,apple,11
1865,apple,7
1866,apple,10
1867,apple,10
1868,apple,10
1869,apple,7
1870,apple,16
1871,apple,8
1872,apple,10
